Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Montos / topes,Detalle,Imagen URL,Bases y condiciones URL,URL categoría,Tarjetas verificadas,Variante,Tipo de variante,Etiqueta de variante
Estética,Coop. Universitaria,Sempre Bela,10% de descuento,Martes,Vigencia Desde el 16 de octubre de 2024 hasta el 16 de octubre de 2026,TOPE DE DESCUENTO 10% de descuento Los martes y sábados N/A N/A Beneficios LA EMPRESA otorgará a los socios de UNIVERSITARIA que abonen el costo de los servicios of; Tope de descuento No aplica,"Sempre Bela Martes y Sábados BASES Y CONDICIONES Promoción “SEMPRE BELA” Vigencia Desde el 16 de octubre de 2024 hasta el 16 de octubre de 2026. Condiciones PROMOCIÓN FRECUENCIA LÍMITE DE COMPRA TOPE DE DESCUENTO 10% de descuento Los martes y sábados N/A N/A Beneficios LA EMPRESA otorgará a los socios de UNIVERSITARIA que abonen el costo de los servicios ofrecidos con sus Tarjetas de Crédito PANAL, CABAL y MASTERCARD el 10% de descuento, aplicado en la caja al momento del pago, los martes y sábados. Exclusiones La promoción no aplica a los productos estéticos. Tope de descuento No aplica. Observaciones Ninguna. Ante consultas sobre las bases y condiciones, comunícate al 021 6170000",https://www.universitaria.coop/assets_front/img/promos/10-de-descuento1745848849.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1745848849.pdf,https://www.universitaria.coop/promociones/post/estetica,,,,
Farmacias,Coop. Universitaria,FARMACIA ENERGY,Hasta 30% de descuento con QR,Todos los miércoles,Vigencia Desde el 01 de julio de 2026 hasta el 30 de septiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.,"Hasta 30% de descuento con QR. Pago con QR en la app Universitaria. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.",https://www.universitaria.coop/assets_front/img/promos/todos-los-miercoles1783355974.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783355974.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783355974-farmacia-energy-0,base,Pago con QR en la app Universitaria
Farmacias,Coop. Universitaria,FARMACIA ENERGY,15% de descuento con tarjeta física,Todos los miércoles,Vigencia Desde el 01 de julio de 2026 hasta el 30 de septiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 750.000.,"15% de descuento con tarjeta física. Pago con tarjeta de crédito física. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 750.000.",https://www.universitaria.coop/assets_front/img/promos/todos-los-miercoles1783355974.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783355974.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783355974-farmacia-energy-1,base,Pago con tarjeta de crédito física
Farmacias,Coop. Universitaria,Farmacenter,40% de descuento con QR en productos seleccionados y suplementos deportivos,Todos los Martes,Vigencia Desde el 07 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 2.000.000.,"40% de descuento con QR en productos seleccionados y suplementos deportivos. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 2.000.000.",https://www.universitaria.coop/assets_front/img/promos/30-de-descuento1783348467.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783348467.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783348467-farmacenter-0,base,QR en productos seleccionados y suplementos deportivos
Farmacias,Coop. Universitaria,Farmacenter,30% de descuento con QR,Todos los Martes,Vigencia Desde el 07 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.,"30% de descuento con QR. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.",https://www.universitaria.coop/assets_front/img/promos/30-de-descuento1783348467.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783348467.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783348467-farmacenter-1,base,QR
Farmacias,Coop. Universitaria,Farmacenter,25% de descuento con tarjeta física,Todos los Martes,Vigencia Desde el 07 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.250.000.,"25% de descuento con tarjeta física. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.250.000.",https://www.universitaria.coop/assets_front/img/promos/30-de-descuento1783348467.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783348467.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783348467-farmacenter-2,base,tarjeta física
Farmacias,Coop. Universitaria,Farmacia Catedral,Hasta 50% de descuento con QR en productos seleccionados,Todos los viernes,Vigencia Desde el 03 de julio de 2026 hasta el 25 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000.,"Hasta 50% de descuento con QR en productos seleccionados. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-50-de-descuento1784292469.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1784292469.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1784292469-farmacia-catedral-0,base,QR en productos seleccionados
Farmacias,Coop. Universitaria,Farmacia Catedral,35% de descuento con QR en medicamentos seleccionados,Todos los viernes,Vigencia Desde el 03 de julio de 2026 hasta el 25 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000.,"35% de descuento con QR en medicamentos seleccionados. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-50-de-descuento1784292469.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1784292469.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1784292469-farmacia-catedral-1,base,QR en medicamentos seleccionados
Farmacias,Coop. Universitaria,Farmacia Catedral,30% de descuento con QR en medicamentos y productos varios,Todos los viernes,Vigencia Desde el 03 de julio de 2026 hasta el 25 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000.,"30% de descuento con QR en medicamentos y productos varios. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-50-de-descuento1784292469.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1784292469.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1784292469-farmacia-catedral-2,base,QR en medicamentos y productos varios
Farmacias,Coop. Universitaria,Farmacia Catedral,25% de descuento con tarjeta física en medicamentos y productos varios,Todos los viernes,Vigencia Desde el 03 de julio de 2026 hasta el 25 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000.,"25% de descuento con tarjeta física en medicamentos y productos varios. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-50-de-descuento1784292469.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1784292469.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1784292469-farmacia-catedral-3,base,tarjeta física en medicamentos y productos varios
Farmacias,Coop. Universitaria,Farmacumbre | Caacupé,15% de descuento,Todos los Domingos,Vigencia Desde el 09 de junio de 2026 hasta el 09 de junio de 2027,,"15% de descuento. Beneficio indicado en las bases. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria.",https://www.universitaria.coop/assets_front/img/promos/15-de-descuento1783600011.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783599737.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783599737-farmacumbre-caacup-0,base,Beneficio indicado en las bases
Farmacias,Coop. Universitaria,Farmaoliva,40% de descuento con QR en productos seleccionados,Todos los Miércoles,Vigencia Desde el 08 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 2.000.000.,"40% de descuento con QR en productos seleccionados. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 2.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-40-de-descuento1783347827.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783347827.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783347827-farmaoliva-0,base,QR en productos seleccionados
Farmacias,Coop. Universitaria,Farmaoliva,30% de descuento con QR en medicamentos nacionales,Todos los Miércoles,Vigencia Desde el 08 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.,"30% de descuento con QR en medicamentos nacionales. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-40-de-descuento1783347827.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783347827.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783347827-farmaoliva-1,base,QR en medicamentos nacionales
Farmacias,Coop. Universitaria,Farmaoliva,25% de descuento con QR en medicamentos importados,Todos los Miércoles,Vigencia Desde el 08 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.250.000.,"25% de descuento con QR en medicamentos importados. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.250.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-40-de-descuento1783347827.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783347827.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783347827-farmaoliva-2,base,QR en medicamentos importados
Farmacias,Coop. Universitaria,Farmaoliva,25% de descuento con tarjeta física en medicamentos y productos varios,Todos los Miércoles,Vigencia Desde el 08 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.250.000.,"25% de descuento con tarjeta física en medicamentos y productos varios. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.250.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-40-de-descuento1783347827.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783347827.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783347827-farmaoliva-3,base,tarjeta física en medicamentos y productos varios
Farmacias,Coop. Universitaria,Farmatotal,Hasta 30% de descuento con QR,Todos los Jueves,Vigencia Desde el 01 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.,"Hasta 30% de descuento con QR. Pago con QR en la app Universitaria. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 1.500.000.",https://www.universitaria.coop/assets_front/img/promos/30-de-descuento1783349093.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783685293.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783685293-farmatotal-0,base,Pago con QR en la app Universitaria
Farmacias,Coop. Universitaria,Farmatotal,15% de descuento con tarjeta física,Todos los Jueves,Vigencia Desde el 01 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 750.000.,"15% de descuento con tarjeta física. Pago con tarjeta de crédito física. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 5.000.000. Tope mensual de reintegro o descuento: Gs. 750.000.",https://www.universitaria.coop/assets_front/img/promos/30-de-descuento1783349093.jpg,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783685293.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783685293-farmatotal-1,base,Pago con tarjeta de crédito física
Farmacias,Coop. Universitaria,Punto Farma,Hasta 45% de descuento con QR en productos no farmacéuticos seleccionados,todos los LUNES,Vigencia Desde el 13 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 10.000.000.,"Hasta 45% de descuento con QR en productos no farmacéuticos seleccionados. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 10.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-45-de-descuento1783699874.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783699874.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783699874-punto-farma-0,base,QR en productos no farmacéuticos seleccionados
Farmacias,Coop. Universitaria,Punto Farma,35% de descuento con QR en medicamentos nacionales,todos los LUNES,Vigencia Desde el 13 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 10.000.000.,"35% de descuento con QR en medicamentos nacionales. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 10.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-45-de-descuento1783699874.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783699874.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783699874-punto-farma-1,base,QR en medicamentos nacionales
Farmacias,Coop. Universitaria,Punto Farma,30% de descuento con QR en medicamentos importados,todos los LUNES,Vigencia Desde el 13 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 10.000.000.,"30% de descuento con QR en medicamentos importados. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 10.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-45-de-descuento1783699874.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783699874.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783699874-punto-farma-2,base,QR en medicamentos importados
Farmacias,Coop. Universitaria,Punto Farma,30% de descuento con tarjeta física en productos de farmacia y otros,todos los LUNES,Vigencia Desde el 13 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 10.000.000.,"30% de descuento con tarjeta física en productos de farmacia y otros. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 10.000.000.",https://www.universitaria.coop/assets_front/img/promos/hasta-45-de-descuento1783699874.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones1783699874.pdf,https://www.universitaria.coop/promociones/post/farmacias,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones1783699874-punto-farma-3,base,tarjeta física en productos de farmacia y otros
Fast Food,Coop. Universitaria,BURGER KING,30% de reintegro con QR,Todos los días,Vigencia Desde el 15 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 150.000.,"30% de reintegro con QR. Pago con QR en la app Universitaria. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 150.000.",https://www.universitaria.coop/assets_front/img/promos/30-de-descuento1784048891.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones-burger-king1784048891.pdf,https://www.universitaria.coop/promociones/post/fast-food,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones-burger-king1784048891-burger-king-0,base,Pago con QR en la app Universitaria
Fast Food,Coop. Universitaria,BURGER KING,10% de reintegro con tarjeta física,Todos los días,Vigencia Desde el 15 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 50.000.,"10% de reintegro con tarjeta física. Pago con tarjeta de crédito física. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 50.000.",https://www.universitaria.coop/assets_front/img/promos/30-de-descuento1784048891.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones-burger-king1784048891.pdf,https://www.universitaria.coop/promociones/post/fast-food,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones-burger-king1784048891-burger-king-1,base,Pago con tarjeta de crédito física
Fast Food,Coop. Universitaria,POPEYES,30% de reintegro con QR,Todos los días,Vigencia Desde el 15 de julio de 2026 hasta el 30 de setiembre de 2026,Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 150.000.,"30% de reintegro con QR. Pago con QR en la app Universitaria. Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria. Límite de compra mensual por cuenta: Gs. 500.000. Tope mensual de reintegro o descuento: Gs. 150.000.",https://www.universitaria.coop/assets_front/img/promos/popeyes1784049194.png,https://www.universitaria.coop/assets_front/img/promos/bases-y-condiciones-popeyes1784049194.pdf,https://www.universitaria.coop/promociones/post/fast-food,"Tarjetas de crédito Panal, Cabal y Mastercard de Cooperativa Universitaria",cu-bases-y-condiciones-popeyes1784049194-popeyes-0,base,Pago con QR en la app Universitaria
