Comercio,Categoria,Beneficio,Dia,Vigencia,Locales,Montos,URL detalle,Tarjetas verificadas,Detalle,Variante,Tipo de variante,Etiqueta de variante
Dorsia,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Dorsia. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
Dorsia,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Dorsia. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB
Emeterio,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-02-06 hasta 2026-12-31,Todas las sucursales de Emeterio. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
Emeterio,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-02-06 hasta 2026-12-31,Todas las sucursales de Emeterio. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB
Jardín Urbano,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Jardín Urbano. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
Jardín Urbano,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Jardín Urbano. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB
La Cabra Sport Bar,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de La Cabra Sport Bar. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
La Cabra Sport Bar,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de La Cabra Sport Bar. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB
Los López Bar de Río,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Los López Bar de Río. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
Los López Bar de Río,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Los López Bar de Río. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB
OLA POKE,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-06-30 hasta 2026-12-31,Todas las sucursales de OLA POKE. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes. Excepción expresa: también aplica a pagos vía web del comercio.",mastercard-standard,base,Mastercard
OLA POKE,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-06-30 hasta 2026-12-31,Todas las sucursales de OLA POKE. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes. Excepción expresa: también aplica a pagos vía web del comercio.",mastercard-gnb-qr,base,Mastercard · QR GNB
Patio Colonial,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Patio Colonial. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
Patio Colonial,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Patio Colonial. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB
Pira Sushi,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Pira Sushi. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
Pira Sushi,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Pira Sushi. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB
Pizzería Popular,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de Pizzería Popular. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard
