ID GNB,Comercio,Categoría GNB,Resumen publicado,Vigencia inicial API,Vigencia final API,Texto visible de la ficha,URL de la promoción,Ya representada en la app,Revisión
47,Areté y Festa,Días GNB,Todos los días 15% off en supermercado y restaurante.,2025-01-01,2026-12-31,"Todos los días 15% off en supermercado y restaurante. | Del 01 de enero al 31 de diciembre del 2026. | 15% de reintegro para pagos con tarjetas de crédito del Banco GNB Paraguay. | Vía reintegro en el extracto al cierre o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta | Tope de compra mensual de Gs. 2.000.000 (guaraníes dos millones) en conjunto de Areté y Festa, por cuenta de tarjeta de crédito (Incluye titulares y adicionales) equivalente a un reintegro máximo mensual en el extracto Gs. 300.000 (guaraníes trescientos mil) para pagos con tarjetas de crédito Banco GNB aplicado al total de compras realizadas en Areté. | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48 hs. hábiles luego de la compra | No aplica compras realizadas a través de plataformas de terceros. | No acumulable con otras promociones. | Consulte las Bases y Condiciones para información.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/47,sí,source_start_date_stale
145,Electrónica y electrodomésticos,Cuotas sin intereses,Hasta 12 cuotas sin intereses todos los días.,2023-01-01,2026-12-31,"Hasta 12 cuotas sin intereses todos los días. | Del 05 de enero al 31 de diciembre del 2026. | Hasta 12 cuotas sin intereses para tarjetas de crédito del Banco GNB Paraguay en tiendas del Rubro Electrónica y Electrodomésticos adheridas a la procesadora Bancard. | Para el fraccionamiento de las cuotas el cliente deberá solicitar/seleccionar la cantidad de cuotas que desea al momento del pago. Las cuotas se verán reflejadas en el extracto del cliente. | Beneficio no aplica a compras vía web. | No participan de la promoción las tarjetas de débito y crédito de afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/145,sí,source_start_date_stale; merchant_group_not_geocodable
180,Nike - Rookie - Academy - Rise,Días GNB,Hasta 25% off los jueves + 6 cuotas sin intereses,2026-05-17,2026-11-26,"Todos los jueves hasta 25% off + 6 cuotas sin intereses todos los días. | Del 08 de enero al 26 de noviembre del 2026. | 25% de descuento para pagos con tarjetas de crédito afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay los días jueves. | 20% de descuento para pagos con tarjetas de crédito afinidades Clàsicas, Oro, Experience, Platinum e Infinite del Banco GNB Paraguay los días jueves. | El 5% del descuento será aplicado en mostrador por el comercio al momento del pago y el porcentaje restante vía reintegro en el extracto del cliente lo cual será reflejado al cierre o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta. | Hasta 6 cuotas sin intereses para pagos con tarjetas de crédito del Banco GNB Paraguay. | Para el fraccionamiento de las cuotas el cliente deberá solicitar/seleccionar la cantidad de cuotas que desea al momento del pago. Las cuotas se verán reflejadas en el extracto del cliente. | Tope de compra mensual: Gs. 1.500.000 (guaraníes un millón quinientos mil) para tarjetas de crédito Mastercard y Visa Clásicas, Oro Platinum e Infinite. y Gs. 3.000.000 (guaraníes tres millones) para tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier el cual aplica en forma conjunta a todos los locales de los comercios adheridos (Nike, Rookie, Academy, Rise). | El descuento en caja no aplica en la compra de Gift Cards. | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/180,sí,
183,Meta Sports,Días GNB,Todos los jueves hasta 25% de descuento + Hasta 6 cuotas sin intereses.,2026-05-17,2026-11-26,"Todos los jueves hasta 25% de descuento + Hasta 6 cuotas sin intereses. | Del 22 de enero al 26 de noviembre del 2026. | 25% de descuento para pagos con tarjetas de crédito afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay los días jueves. | 20% de descuento para pagos con tarjetas de crédito afinidades Clàsicas, Oro, Experience, Platinum e Infinite del Banco GNB Paraguay los días jueves. | Hasta 6 cuotas sin intereses para pagos con tarjetas de crédito del Banco GNB Paraguay. | Tope de compra mensual: Gs. 1.500.000 (guaraníes un millón quinientos mil) para tarjetas de crédito Mastercard y Visa Clásicas, Oro Platinum e Infinite. y Gs. 3.000.000 (guaraníes tres millones) para tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier el cual aplica en forma conjunta a todos los locales de los comercios adheridos. | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | El descuento en caja no aplica en la compra de Gift Cards. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/183,sí,
392,Supermercado Súper 2,Días GNB,Hasta 20% de reintegro todos los jueves.,2024-12-05,2026-12-31,"Hasta 20% de reintegro todos los jueves. | Del 16 de abril al 31 de diciembre del 2026. | 20% de reintegro para pagos con tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | 15% de reintegro para pagos con tarjetas de crédito Mastercard Clásicas y Oro del Banco GNB Paraguay. | El reembolso será vía reintegro en el extracto al cierre o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta. | Tope de compra mensual: Gs. 1.000.000 (guaraníes un millón) por cuenta de tarjeta de crédito Incluye titulares y adicionales. | No aplica para pagos realizados a través de plataformas de terceros y/o e-commerce. | No acumulable con otras promociones. | Cerro Corá c/ Hernandarias - Villarrica",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/392,sí,source_start_date_stale
9,Día GNB Casa Rica,Días GNB,20% off el miércoles 14 de octubre del 2026.,2024-06-01,2026-12-31,"20% off el miércoles 14 de octubre del 2026. | 20% de descuento para pagos realizados con las tarjetas de crédito del Banco GNB Paraguay. | El descuento será aplicado al momento del pago en caja/mostrador. | Incluye compras en tienda online. | No acumulable con otras promociones. | No participan de la promoción las tarjetas débito y crédito de afinidades Empresariales, Corporativas, Gift Card, Gourmet Card y Prepagas. | No aplica a pagos posteriores a la fecha ni pagos contra entrega de productos.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/9,sí,
598,Farmacenter,Días GNB,Hasta 35% de descuento los días lunes + Hasta 3 cuotas sin intereses todos los días.,2026-03-13,2026-09-28,"Hasta 35% de descuento los días lunes + Hasta 3 cuotas sin intereses todos los días. | Del 16 de marzo al 28 de septiembre del 2026 | 35% de descuento en la categoría de Perfumería y otros productos para pagos con tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier. (20% Farmacenter directo en la caja + 15% Banco GNB en el reintegro). | 30% de descuento en la categoría de Perfumería y otros productos para pagos con tarjetas de crédito Mastercard Clásica y Oro (20% Farmacenter directo en la caja + 10% Banco GNB en el reintegro). | 30% de descuento en la categoría de Medicamentos para pagos con tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier. (15% Farmacenter directo en la caja + 15% Banco GNB en el reintegro). | 25% de descuento en la categoría de Medicamentos para pagos con tarjetas de crédito Mastercard Clásica y Oro. (15% Farmacenter directo en la caja + 10% Banco GNB en el reintegro). | Hasta 3 cuotas sin intereses para pagos con tarjetas de crédito del Banco GNB Paraguay. | Tope de compra mensual: Gs. 1.000.000 (guaraníes un millón) por cuenta de tarjeta de crédito (incluye titulares y adicionales), el cual aplica en forma conjunta a todos los locales del comercio. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/598,sí,
352,Farmatotal,Días GNB,Hasta 35% de descuento + 3 cuotas sin intereses los días jueves.,2024-10-02,2026-12-31,"Hasta 35% de descuento + 3 cuotas sin intereses los días jueves. | Del 02 de julio al 31 de diciembre del 2026. | Hasta 25% de descuento en caja para pagos con tarjetas de crédito del Banco GNB Paraguay todos los jueves. • 5% de reintegro para pagos con tarjetas de crédito físicas Mastercard del Banco GNB Paraguay. • +5% de reintegro adicional para pagos con QR con tarjetas de crédito Mastercard a través de la App Banco GNB Personas. | Descuento del 25% aplica en caja +10% adicional de reintegro pagando con QR crédito lo cual será reflejado al cierre en el extracto o podrá visualizarlo en su app en los movimientos mensuales de su tarjeta. El reintegro será aplicado sobre el importe final facturado, una vez aplicados los descuentos otorgados por el comercio. | Hasta 3 cuotas sin intereses para pagos con tarjetas de crédito Mastercard del Banco GNB Paraguay. | Tope de compra mensual: Gs. 1.000.000 (guaraníes un millón) por cuenta de tarjeta de crédito (incluye titulares y adicionales), el cual aplica en forma conjunta a todos los locales del comercio. | No aplica para pedidos realizados vía delivery y/o e-commerce. | No acumulable con otras promociones. | Consulte las bases y condiciones para más información acerca del beneficio.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/352,sí,source_start_date_stale
14,Viajes,Cuotas sin intereses,Hasta 18 cuotas sin intereses en agencias y aerolíneas de todo el país.,2024-01-01,2026-12-31,Hasta 18 cuotas sin intereses en agencias y aerolíneas de todo el país. | Del 05 de enero al 31 de diciembre del 2026. | Hasta 18 cuotas sin intereses para tarjetas de crédito del Banco GNB Paraguay. En Agencias de Viajes y Aerolíneas adheridas al rubro en la procesadora Bancard. | Para el fraccionamiento de las cuotas el cliente deberá solicitar/seleccionar la cantidad de cuotas que desea al momento del pago. Las cuotas se verán reflejadas en el extracto del cliente. | Pagos realizados con tarjetas de crédito Banco GNB Paraguay S.A.E.C.A. | La promoción aplica todos los días durante el periodo de promoción. | No acumulable con otras promociones. | No aplica para compras ecommerce.,https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/14,sí,source_start_date_stale; merchant_group_not_geocodable
327,Petrochaco,Días GNB,20% de descuento los días martes-,2024-08-29,2026-12-29,"20% de descuento los días martes. | Del 07 de julio al 29 de diciembre del 2026. | 20% de descuento para pagos con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | El descuento será aplicado vía reintegro en extracto el cual será reflejado al cierre o podrá visualizarlo en su App en los movimientos mensuales de su tarjeta. | Tope de compra semanal de Gs.500.000 (guaraníes quinientos mil) por cuenta de tarjeta de crédito Incluye titulares y adicionales) equivalente a un reintegro máximo semanal en el extracto de Gs. 100.000 (guaraníes cien mil). | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | Beneficio aplica única y exclusivamente los días MARTES dentro del periodo de promoción. | No aplica compras realizadas a través de plataformas de terceros. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/327,sí,source_start_date_stale
614,Petrosur,Días GNB,20% de descuento los días viernes.,2026-04-30,2026-12-25,"20% de descuento los días viernes. | Del 1 de mayo al 25 de diciembre del 2026. | 20% de descuento para pagos desde la app Petrosur con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay. | Tope de compra mensual de Gs.1.000.000 (guaraníes un millón) por cuenta de tarjeta de crédito Incluye titulares y adicionales) equivalente a un reintegro máximo mensual en el extracto de Gs. 200.000 (guaraníes doscientos mil). | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | El descuento será aplicado vía reintegro en extracto el cual será reflejado al cierre o podrá visualizarlo en su App en los movimientos mensuales de su tarjeta. | No aplica compras realizadas a través de plataformas de terceros. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/614,sí,
73,Impuestos Inmobiliarios - Municipalidades,Cuotas sin intereses,Pagá tus impuestos inmobiliarios en hasta 12 cuotas sin intereses.,2024-01-01,2026-12-31,"Pagá tus impuestos inmobiliarios en hasta 12 cuotas sin intereses. | Del 05 de enero al 31 de diciembre del 2026. | Hasta 12 cuotas sin intereses para pagos con tarjetas de crédito Clásicas, Oro, Experience, Black, Black Premier, Metalcard Premier, Platinum e Infinite. | Para el fraccionamiento de las cuotas el cliente deberá solicitar/seleccionar la cantidad de cuotas que desea al momento del pago. Las cuotas se verán reflejadas en el extracto del cliente. | Pagos realizados con tarjetas de crédito Banco GNB Paraguay S.A.E.C.A. | No participan de la promoción las tarjetas de débito y crédito de afinidades Empresariales, Corporativas, Gift Card, Gourmet y Prepagas. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/73,sí,source_start_date_stale
423,Adidas,Días GNB,Todos los jueves hasta 25% de descuento + Hasta 6 cuotas sin intereses.,2026-05-17,2026-11-26,"Todos los jueves hasta 25% de descuento + Hasta 6 cuotas sin intereses. | Del 22 de enero al 26 de noviembre del 2026. | 25% de descuento para pagos con tarjetas de crédito afinidades Black, Black Premier y Metalcard Premier del Banco GNB Paraguay los días jueves. | 20% de descuento para pagos con tarjetas de crédito afinidades Clàsicas, Oro, Experience, Platinum e Infinite del Banco GNB Paraguay los días jueves. | Hasta 6 cuotas sin intereses para pagos con tarjetas de crédito del Banco GNB Paraguay. | Tope de compra mensual: Gs. 1.500.000 (guaraníes un millón quinientos mil) para tarjetas de crédito Mastercard y Visa Clásicas, Oro Platinum e Infinite. y Gs. 3.000.000 (guaraníes tres millones) para tarjetas de crédito Mastercard Black, Black Premier y Metalcard Premier el cual aplica en forma conjunta a todos los locales de los comercios adheridos. | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | El descuento en caja no aplica en la compra de Gift Cards. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/423,sí,
362,Champs Elysees,Días GNB,Hasta 25% de descuento los jueves y viernes + Hasta 6 cuotas sin intereses todos los días.,2026-05-17,2026-11-27,"Hasta 25% de descuento los jueves y viernes + Hasta 6 cuotas sin intereses todos los días. | Del 08 de enero al 27 de noviembre del 2026. | Hasta 25% de descuento para pagos con tarjetas de crédito del Banco GNB Paraguay todos los jueves y viernes. 20% de descuento para pagos con tarjetas de crédito del Banco GNB Paraguay (5% en caja + 15% con tarjetas de crédito físicas). +5% de descuento adicional para pagos con QR con tarjetas de crédito a través de la App Banco GNB Personas. | Hasta 6 cuotas sin intereses todos los días para pagos con tarjetas de crédito del Banco GNB Paraguay. | Tope de compra mensual: Gs. 2.000.000 (guaraníes dos millones) por cuenta de tarjeta de crédito (incluye titulares y adicionales), el cual aplica en forma conjunta a todos los locales de los comercios adheridos (Champs Elysees, O boticário, Isdin). | La promoción de descuento aplica todos los jueves y viernes dentro del periodo de la promoción. | Los reintegros serán reflejados de manera automática en el extracto del cliente, en un período de 24 a 48hs hábiles luego de la compra. | El descuento en caja no aplica en la compra de Gift Cards y servicios de cabina como tratamientos faciales. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/362,sí,
377,Supermercado Jullito,Días GNB,20% de descuento todos los lunes.,2024-11-04,2026-11-28,"20% de descuento todos los lunes. | Del 06 de julio al 28 de diciembre del 2026. | 20% de descuento para las tarjetas de crédito Mastercard del Banco GNB Paraguay. | El descuento será aplicado vía reintegro en el extracto al cierre o podrá visualizarlo a través de la app en los movimientos mensuales de su tarjeta. | Tope de compra mensual: Gs. 1.000.000 (guaraníes un millón) por cuenta de tarjeta de crédito (incluye titulares y adicionales). | Promoción válida únicamente los lunes dentro del periodo de la promoción. | No aplica compras realizadas a través de plataformas de terceros. | No acumulable con otras promociones. | ✓ Supermercado Jullito Avenida Gaspar Rodríguez de Francia, esquina Cerro Corá – Obligado, Paraguay",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/377,sí,source_start_date_stale
534,El Negro Suplementos,Días GNB,Hasta 45% de descuento + Hasta 6 cuotas sin intereses los días viernes.,2026-07-03,2026-09-25,"Hasta 45% de descuento + Hasta 6 cuotas sin intereses los días viernes. | Del 03 de julio al 25 de septiembre del 2026. | 45% de descuento para pagos con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay en la Sucursal de Asunción. | 20% de descuento para pagos con tarjetas de crédito Mastercard Clásicas, Oro, Black, Black Premier y Metalcard Premier del Banco GNB Paraguay en la Sucursal de Ciudad del Este. | Hasta 6 cuotas sin intereses para pagos con tarjetas de crédito del Banco GNB Paraguay. | Tope de compra mensual: Gs. 1.000.000 (guaraníes un millón) por cuenta de tarjeta de crédito Incluye titulares y adicionales. | La promoción aplica los días viernes dentro del periodo de vigencia de la promoción. | No acumulable con otras promociones.",https://www.beneficiosbancognb.com.py/v2/beneficios/categorias/534,sí,
