reason,bank,category,merchant_name,address,city,department,geocode_source,google_confidence,google_name,formatted_address,lat,lng,source_url
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Maestra Celsa Speratti y Andrés Insfran,Luque,Central,google_places_text_search,review,Shell,"Cap Andrés Insfrán Ruta Luque - San Lorenzo, Ntra. Sra. del Pilar, Luque 110947",-25.287726,-57.4999535,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Silvio Pettirsossi y Córdoba,Luque,Central,google_places_text_search,review,Petrobras,"PFWP+VQ, Avenida Autopista esquina, Luque 110917",-25.2528125,-57.5130625,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. Carlos Antonio López esq. Manuel Irala Fernández,Mariano Roque Alonso,Central,google_places_text_search,review,Estación de Servicio Shell Bahia - Mariano Roque Alonso,"km 17,5, Capitán Hermosilla esquina, Mariano Roque Alonso 111009",-25.2173759,-57.5305155,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. Gral. Eugenio Alejandrino Garay esq. Tte. Wenseslao,Mariano Roque Alonso,Central,google_places_text_search,review,Estación de Servicio Shell Bahia - Mariano Roque Alonso,"km 17,5, Capitán Hermosilla esquina, Mariano Roque Alonso 111009",-25.2173759,-57.5305155,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Ruta Transchaco y Capellán Idoyaga,Mariano Roque Alonso,Central,google_places_text_search,review,Copetrol ruta transchaco,"QFXF+GMF, Mariano Roque Alonso 111004",-25.2011874,-57.525841,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. Gral. Díaz esq. Gral. Vicente Barrios,Mariano Roque Alonso,Central,google_places_text_search,review,Estación de servicio,"QFRH+3JJ, General Vicente Barrios, Mariano Roque Alonso 111008",-25.209799,-57.5209956,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,1° de Mayo esq. Félix Pérez Cardozo,Nemby,Central,google_places_text_search,review,Copetrol Estrella,"JF62+QW7, Acceso Sur, Ñemby 111207",-25.3880907,-57.5477104,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Tte. Ángel Molas esq. Huerta,San Lorenzo,Central,google_places_text_search,review,FUELPAR TTE. MOLAS,"JGP3+G9X, San Lorenzo 111455",-25.3637104,-57.4966539,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. De La Victoria y Pompeya - Ruta Nemby,San Lorenzo,Central,google_places_text_search,review,Estación De Servicios Calle Florida,"Acceso Sur 168, esquina, Ñemby 111216",-25.4017037,-57.5436365,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Juan Pablo Ocampos esq. Curuzu Mbocaya,San Lorenzo,Central,google_places_text_search,review,Petropar - Juan Pablo Ocampo,"Unnamed Road, JFFP+R29, San Lorenzo 111460",-25.3754511,-57.5148828,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Saturio Ríos esq. Avda. Dr. Gabriel Pellón,San Lorenzo,Central,google_places_text_search,review,"Regional Education Center ""Saturio Ríos""","10 de Agosto, e y, San Lorenzo 111431",-25.3502112,-57.5154662,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Palma esq. Mcal. Estigarribia,Villa Elisa,Central,google_places_text_search,review,Estación de Servicio ENERGY Villa Elisa,"Av. Defensores del Chaco, Villa Elisa 111504",-25.3503233,-57.5911719,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Cnel. Martínez esq. Mcal. Estigarribia,Villa Elisa,Central,google_places_text_search,review,Estación de Servicio ENERGY Villa Elisa,"Av. Defensores del Chaco, Villa Elisa 111504",-25.3503233,-57.5911719,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Combustible,Estaciones de Servicio,Avda. Von Polesky esq. Hungría,Villa Elisa,Central,google_places_text_search,review,3MG VON POLESKY,"JCH8+H97, Villa Elisa 111510",-25.3710799,-57.5840829,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Estaciones_de_Servicio_2026_AGOSTO_2026_fd2e476e47.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,21 Proyectadas y Tte. Rojas Silva,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Suc. 21 proyectadas,Asunción 001107,-25.3096647,-57.6391908,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Ind. Nacional N° 2372 entre Juan Centurión e Itapirú,Asunción,Capital,google_places_text_search,review,Distribuidora Daniel's,"Brasil 1092, Asunción 001221",-25.2946914,-57.6291811,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Federación Rusa y Augusto Roa Bastos,Asunción,Capital,google_places_text_search,review,Catedral Drugstore,"Sta. Ana 1473, Asunción 001529",-25.2856304,-57.5739576,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Felix Bogado y Calle Tte. Aguirre,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Suc. Felix Bogado,"Teniente Aguirre 2298, Asunción 001109",-25.3126716,-57.6311157,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Rca. Argentina N° 2650,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Suc. Rca. Argentina 2,"MCJ4+4R2, Asunción 001423",-25.319785,-57.5929823,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Rca. Argentina esq. Diego Garcia,Asunción,Capital,google_places_text_search,review,Farmacia Amigo Rodríguez de Francia,"Rodríguez de Francia 1654, entre Battilana y, Asunción 001223",-25.2995022,-57.624389,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Sacramento y Cap. Lombardo,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Suc. Sacramento,Asunción 001532,-25.2707271,-57.5841317,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Del Maestro 2924 c/ Dr. Caballero,Asunción,Capital,google_places_text_search,review,Farmacenter Mcal. Lopez 1,"PC4C+C2V, Av. Mariscal López 3683 casi, Asunción 1411",-25.2938838,-57.5799747,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,San Roque Gonzalez y Quesada,Asunción,Capital,google_places_text_search,review,Catedral Drugstore,"Sta. Ana 1473, Asunción 001529",-25.2856304,-57.5739576,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. España esq. Santa Ana N° 429,Asunción,Capital,google_places_text_search,review,Catedral Drugstore,"Sta. Ana 1473, Asunción 001529",-25.2856304,-57.5739576,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,11 de Septiembre esq. Fulgencio Yegros,Asunción,Capital,google_places_text_search,review,Farmacia Catedral General Santos Teodoro S. Mongelos,"Avda. Gral Santos, Teodoro S. Mongelós esq, Asunción 001226",-25.3005949,-57.6134351,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Sacramento esq. Dr. Argaña,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Suc. Sacramento,Asunción 001532,-25.2707271,-57.5841317,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Carlos A. López y De la Conquista,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Carlos Antonio López 2,"P86W+CFV, Asunción 001008",-25.2888892,-57.6538263,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. España c/ Washington,Asunción,Capital,google_places_text_search,review,Punto Farma - Superseis España,"P97H+QG5, Asunción 001218",-25.2856564,-57.6212163,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Madame Lynch y Liberato Rojas,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Suc. Centro,"Palma, Asunción 001101",-25.2826077,-57.6338627,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Stmo. Sacramento esq. Roque Miranda,Asunción,Capital,google_places_text_search,review,Farmacia Catedral Suc. Sacramento,Asunción 001532,-25.2707271,-57.5841317,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Itapúa c/ Mayo Albertino Zayas,Asunción,Capital,google_places_text_search,review,Farmacia y Perfumería Mayo,"MCMC+WJ8, Av. Eusebio Ayala 1910, Asunción 001426",-25.3152087,-57.5785826,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Boggiani N° 7443,Asunción,Capital,google_places_text_search,review,Punto Farma - Boggiani,"Alas Paraguayas 316, Asunción 001416",-25.2991401,-57.5738131,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. España y General Santos,Asunción,Capital,google_places_text_search,review,Farmacenter España 3,"Av Gral Máximo Santos esq, Asunción 1208",-25.2878471,-57.6094342,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Máximo Caballero c/ Navío Humberto,Asunción,Capital,google_places_text_search,review,Farmacia Vicente Scavone - Suc. Palma,"15 De Agosto, Asunción 001013",-25.28065,-57.6375307,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Av. Mariscal López 441,Asunción,Capital,google_places_text_search,review,Drugstore Asismed Mcal Lopez,"P96J+F25, Asunción 001218",-25.2888708,-57.6198764,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,12 de Octubre e/ Ramón Elias y Pbro. P.J. Moreno,Capiatá,Central,google_places_text_search,review,Farmacenter Capiata 2,"Ruta Mcal. Jose Felix Estigarribia Esq. Prebistero.P.J.Moreno Capiata PY 2560, PY02, San Lorenzo 110217",-25.3515165,-57.4464845,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Compañía 8 Yvyraro,Capiatá,Central,google_places_text_search,review,Punto Farma 207,"Ruta nro 1 km 20 casi Avda Pedro Lopez Godoy, Capiatá 110239",-25.3933241,-57.4679071,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Junta Municipal N° 232 c/ Tomás R. Pereira,Fernando de la Mora,Central,google_places_text_search,review,Punto Farma - Punto 192,"10 de Julio casi, Fernando de la Mora 110307",-25.320487,-57.5515977,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Calle Tte. Ettiene y Primera,Fernando de la Mora,Central,google_places_text_search,review,Farmacenter Ettiene,"San Francisco casi, Fernando de la Mora 110313",-25.3248887,-57.5426351,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Mcal. López N° 3130 c/ Don Bosco,Fernando de la Mora,Central,google_places_text_search,review,Farmacia Catedral - Suc. Fdo. de la Mora 1,Fernando de la Mora 9485,-25.3215425,-57.5541942,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Mcal. Estigarribia c/ Usher Ríos,Fernando de la Mora,Central,google_places_text_search,review,FarmaSur,"Soldado Ovelar 1832, Fernando de la Mora 110327",-25.3352238,-57.5682059,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Las Palmas esq. Bruno Guggiari,Lambaré,Central,google_places_text_search,review,Farmacia Catedral Suc. Las Palmas,Lambaré 110706,-25.3331898,-57.6203503,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Primero de Marzo e/ Nanawa y Francisco Wisner,Lambaré,Central,google_places_text_search,review,Farmacia Farma Sandra,"M92F+P6V, Nanawa, Lambaré 110724",-25.3481254,-57.6269461,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Km. 23 Ruta N° 3 Gral. Aquino y Carlos Antonio López,Limpio,Central,google_places_text_search,review,Punto Farma Limpio,"Gral. Elizardo Aquino Esquina, Limpio 0000",-25.1748679,-57.483363,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,General Díaz y Pedro Melo De Portugal,Limpio,Central,google_places_text_search,review,Farmacia Fernández,"Gral. Elizardo Aquino, Limpio 110813",-25.1691314,-57.4779517,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Calle La Amistad esq. 2do. Barrio,Limpio,Central,google_places_text_search,review,Punto Farma Limpio,"Gral. Elizardo Aquino Esquina, Limpio 0000",-25.1748679,-57.483363,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Cnel. Martínez e/ Paso Esperanza,Luque,Central,google_places_text_search,review,FARMA NORTE,"Dora Gomez Bueno de Acuña, Luque 110921",-25.2676384,-57.4810256,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Digno García esq. Santo Tomás,Luque,Central,google_places_text_search,review,Digno García,"PGGH+J8F, Luque 110924",-25.2734421,-57.471716,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Carlos Antonio López esq. 14 de Mayo,Luque,Central,google_places_text_search,review,FarmaInternacional,"14 De Mayo, Luque 110930",-25.2689562,-57.4922258,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Capitán Bado N° 498 y Avenida Humaitá,Luque,Central,google_places_text_search,review,Farmacia catedral Suc. Luque 2,"Av. Humaita, Luque 110930",-25.2716213,-57.4866523,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Calle América y Karandayty Loma Merlo Luque,Luque,Central,google_places_text_search,review,biggie farma luque america,"PFXW+RVG, Luque 110916",-25.2504462,-57.5028068,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,"Capitán Andrés Insfran, Ruta Luque - San Lorenzo",Luque,Central,google_places_text_search,review,Club Capitán Andrés Insfrán,"PG4H+PV8, Luque 110953",-25.2932077,-57.4703116,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Ramos Alfaro esq. Samukiay,Luque,Central,google_places_text_search,review,Farmacenter Luque 1,"Av. Gral. Aquino esq, Luque 0932",-25.2673297,-57.4933437,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,2da. Capital c/ Mcal. Sucre,Luque,Central,google_places_text_search,review,Farmacia Catedral Suc: Luque 3,Luque 110919,-25.2552086,-57.4994338,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Coronel Martínez esq. Prof. Inés Figueredo,Luque,Central,google_places_text_search,review,Farmacenter Luque 2,"14 De Mayo esq, Luque 0930",-25.269799,-57.4876717,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Cnel. Martínez c/ Dr. Andrés,Luque,Central,google_places_text_search,review,Farmacia Luque,"Moises Bertoni, Lúke 110930",-25.2715136,-57.4881232,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Avda. Artigas c/ Bernardino Caballero,Luque,Central,google_places_text_search,review,Farmacenter Luque 1,"Av. Gral. Aquino esq, Luque 0932",-25.2673297,-57.4933437,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
"Google encontro un resultado, pero el nombre/direccion requiere revision",BNF,Farmacias,Farmacias,Gral. Bernardino Caballero entre Pedro Juan Caballero e Ignacio Iturbe,Mariano Roque Alonso,Central,google_places_text_search,review,Farmacenter Mariano 2,"Ruta Transchaco c/ Centeno Mariano Roque Alonso, Mariano Roque Alonso 1010",-25.214851,-57.5300811,https://www.bnf.gov.py/uploads/Promocion_Reintegro_Farmacias_2026_AGOSTO_2026_297be5ea2b.pdf
