Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Detalle,URL,Montos / topes,Localidad
Entretenimiento y experiencias,Sudameris,McLaren Mastercard Formula 1®Team,Sudameris te acerca la emoción del simulador oficial del McLaren Mastercard Formula 1® Team por primera vez en Paraguay. 📍 Distrito Perseverancia 🗓️ Del 21 de septiembre hasta el 1,No especificado,No especificado,Sudameris te acerca la emoción del simulador oficial del McLaren Mastercard Formula 1® Team por primera vez en Paraguay. 📍 Distrito Perseverancia 🗓️ Del 21 de septiembre hasta el 1 de octubre de 2026 🕛 12:00 a 21:00 hs.,https://www.sudameris.com.py/beneficios/destacado/918/detalle,,
Entretenimiento y experiencias,Sudameris,PRIMAVERA 2026 – DISTRITO PERSEVERANCIA,• Reintegro en extracto de tarjeta según aplicación de promoción [leer las,No especificado,• Desde el 18 hasta el 21 de septiembre de 2026.,• Reintegro en extracto de tarjeta según aplicación de promoción [leer las,https://www.sudameris.com.py/beneficios/destacado/920/detalle,,
Entretenimiento y experiencias,Sudameris,PROMOCIÓN MCLAREN MASTERCARD F1 TEAM,Gs. 500.000,No especificado,"de la promoción y acumulá cupones digitales automáticamente para los sorteos, según las","Promoción McLaren Mastercard F1 Team Participá por la experiencia McLaren Mastercard F1 Team Viví la adrenalina de la Fórmula 1 con la posibilidad de viajar al Gran Premio de México o al Gran Premio de São Paulo, además de ganar merchandising oficial del McLaren Mastercard F1 Team: remeras, gorras y mochilas. ¿Cómo participar? Realizá compras desde Gs. 500.000 con tu Tarjeta de Crédito Sudameris Mastercard durante la vigencia de la promoción y acumulá cupones digitales automáticamente para los sorteos, según las bases y condiciones.",https://www.sudameris.com.py/beneficios/destacado/854/detalle,,
Farmacias,Sudameris,BIGGIE FARMA,10%; 20%; Hasta 12 cuotas sin interés,primer Jueves; Solo el primer Jueves,• Desde el 01 de julio hasta el 30 de septiembre 2026. • Solo el primer Jueves de cada mes: • 02 de julio. • 06 de agosto. • 03 de septiembre.,"• Desde 20% de descuento en caja. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/708/detalle,,
Farmacias,Sudameris,DRUGSTORE ASISMED DESCUENTO EN CAJA,10%; 100%; 17%; 32%; Hasta 12 cuotas sin intereses,Todos los martes,• Todos los martes. • Desde el 01 de julio hasta el 30 de septiembre 2026.,"• 17% de descuento en caja en medicamentos importados o nacional con tratamiento de importado y varios, pagando con tarjetas de crédito de Sudameris. • 32% de descuento en caja en medicamentos de origen 100% nacional, pagando con tarjetas de crédito de Sudameris. • + 10% de reintegro directo en el extracto, pagando con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin intereses.",https://www.sudameris.com.py/beneficios/destacado/453/detalle,,
Farmacias,Sudameris,FARMACENTER,10%; 20%; Hasta 12 cuotas sin interés,primer miércoles; Solo el primer miércoles,• Desde el 01 de julio hasta el 31 de diciembre 2026. • Solo el primer miércoles de cada mes: • 01 de julio. • 05 de agosto. • 02 de septiembre. • 07 de octubre. • 04 de noviembre. • 02 de diciembre.,"• 20% de descuento directo en caja en todos los productos. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/632/detalle,,
Farmacias,Sudameris,FARMACIA CATEDRAL,10%; 20%; 25%; Hasta 12 cuotas sin interés,Todos los lunes; Todos los Lunes,• Todos los lunes. • Desde el 1 de julio hasta el 31 de diciembre 2026.,"Todos los Lunes: • Hasta 25% de descuento directo en caja en todos los productos. • 25% de descuento en caja en medicamentos nacionales y preparados magistrales • 20% de descuento en caja en medicamentos importados/ medicamentos nacionales con tratamientos importados. • Hasta 12 cuotas sin interés. Solo el último lunes del mes: • Hasta 25% de descuento directo en caja en todos los productos. • 25% de descuento en caja en medicamentos nacionales y preparados magistrales • 20% de descuento en caja en medicamentos importados/ medicamentos nacionales con tratamientos importados. • +10% de reintegro directo adicional en extracto, pagando exclusivamente con tarjetas de crédito de Sudameris. • Hasta 12 cuotas sin interés.",https://www.sudameris.com.py/beneficios/destacado/270/detalle,,
Gastronomía,Sudameris,BIGGIE EXPRESS - PRIMERO DE CADA MES,30%,01 de cada mes,• 01 de cada mes. • Desde el 01 de julio hasta el 30 de septiembre 2026.,• 30% de reintegro directo en el extracto pagando con tarjetas de crédito de Sudameris.,https://www.sudameris.com.py/beneficios/destacado/891/detalle,,
Gastronomía,Sudameris,CAFÉ JARDIN,20% DE REINTEGRO + 5% PARA BLACK E INFINITE,JUEVES A DOMINGO,Desde 2026-08-06 hasta 2026-09-27,"20% DE REINTEGRO + 5% PARA BLACK E INFINITE.  1 GASTRONOMÍA VIGENCIA • Según aplicación de promoción (ver cuadro más abajo). BENEFICIO • Reintegro directo en el extracto para compras con tarjetas de crédito de Sudameris, según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por comercio, por cuenta de tarjeta de crédito, según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, exclusivamente en los comercios adheridos a la promo. • Promoción válida única y exclusivamente para compras realizadas vía POS Bancard (Red Infonet), vía e-commerce según disponibilidad del comercio, V-POS (Bancard), Pagos QR Crédito (vía Sudameris App). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, Bancard Check, de débito, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen de la promoción las compras realizadas en plataformas ajenas a cada marca (Monchis, Pedidos Ya, Pedile a Charly, Gu, entre otros) • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/uploads/public/6a7/376/af4/6a7376af4a2cc693462747.pdf,Tope de compra mensual: GS. 600.000,
Gastronomía,Sudameris,CAFÉ QUINTO,25% DE REINTEGRO,MARTES,Desde 2026-08-04 hasta 2026-09-30,"25% DE REINTEGRO. (Aplica para pedidos vía WhatsApp. No aplica a pedidos vía Web) 1 GASTRONOMÍA VIGENCIA • Según aplicación de promoción (ver cuadro más abajo). BENEFICIO • Reintegro directo en el extracto para compras con tarjetas de crédito de Sudameris, según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por comercio, por cuenta de tarjeta de crédito, según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, exclusivamente en los comercios adheridos a la promo. • Promoción válida única y exclusivamente para compras realizadas vía POS Bancard (Red Infonet), vía e-commerce según disponibilidad del comercio, V-POS (Bancard), Pagos QR Crédito (vía Sudameris App). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, Bancard Check, de débito, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen de la promoción las compras realizadas en plataformas ajenas a cada marca (Monchis, Pedidos Ya, Pedile a Charly, Gu, entre otros) • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/uploads/public/6a7/376/af4/6a7376af4a2cc693462747.pdf,Tope de compra mensual: GS. 800.000,
Gastronomía,Sudameris,CHAVAL,20% DE REINTEGRO + 5% PARA BLACK E INFINITE,JUEVES A SÁBADO,Desde 2026-08-06 hasta 2026-09-30,"20% DE REINTEGRO + 5% PARA BLACK E INFINITE.  1 GASTRONOMÍA VIGENCIA • Según aplicación de promoción (ver cuadro más abajo). BENEFICIO • Reintegro directo en el extracto para compras con tarjetas de crédito de Sudameris, según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por comercio, por cuenta de tarjeta de crédito, según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, exclusivamente en los comercios adheridos a la promo. • Promoción válida única y exclusivamente para compras realizadas vía POS Bancard (Red Infonet), vía e-commerce según disponibilidad del comercio, V-POS (Bancard), Pagos QR Crédito (vía Sudameris App). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, Bancard Check, de débito, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen de la promoción las compras realizadas en plataformas ajenas a cada marca (Monchis, Pedidos Ya, Pedile a Charly, Gu, entre otros) • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/uploads/public/6a7/376/af4/6a7376af4a2cc693462747.pdf,Tope de compra mensual: GS. 600.000,
Gastronomía,Sudameris,CLUB CENTRO SOCIAL ENCARNACIÓN,10%; 20%; Hasta 12 Cuotas sin interés,No especificado,• Hasta el 15 de enero 2027.,"• 10% de reintegro en el extracto exclusivamente vía debito automático en el pago de las cuotas sociales para compras realizadas con Tarjetas de Crédito MasterCard y Visa del banco Sudameris. • 20% de reintegro en el extracto exclusivamente en la cantina del club para compras realizadas con Tarjetas de Crédito MasterCard y Visa del banco Sudameris. • Hasta 12 Cuotas sin interés para pagos de cuotas sociales: Ingreso, atrasadas, adelantadas. En las cajas del club.",https://www.sudameris.com.py/beneficios/destacado/477/detalle,,
Gastronomía,Sudameris,CLUB CONCEPCIÓN,10%; 20%; Hasta 12 cuotas sin interés,Todos los días,• Todos los días desde el 9 de setiembre al 31 de agosto del 2028 • Todos los días desde el 31 de octubre al 31 de agosto del 2028 del débito automático del club,• 20% de reintegro con tarjetas de crédito en el restaurante del club • Hasta 12 cuotas sin interés. • 10% de reintegro exclusivo para pagos vía débito automático con tarjetas de crédito.,https://www.sudameris.com.py/beneficios/destacado/522/detalle,,
Gastronomía,Sudameris,CLUB DEPORTIVO PUERTO SAJONIA (CDPS),10%; 20%; Hasta 36 cuotas sin interés; Tope de compra mensual en cada restaurante Gs. 300.000; Tope mensual de compra Gs. 500.000; Gs. 300.000; Gs. 500.000,Todos los días,• Todos los días. • Hasta el 31 de julio de 2028.,"• 20% de reintegro en el extracto de tarjeta de crédito en los restaurantes del Club Deportivo de Puerto Sajonia (CDPS): Atípico, Cristo de las Redes, Arsenio Cantina Bar. Tope de compra mensual en cada restaurante Gs. 300.000 por cuenta de tarjeta. • 10% de reintegro aplica única y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa, para pagos vía débito automático de las cuotas sociales del club. Tope mensual de compra Gs. 500.000 por cuenta de tarjeta. • Hasta 36 cuotas sin interés para pago de las membresías (adelantadas o atrasadas), llamando al Call Center para indicar la cantidad de cuotas.",https://www.sudameris.com.py/beneficios/destacado/231/detalle,,
Gastronomía,Sudameris,CLUB NÁUTICO SAN BERNARDINO,10%; 20%; 12 cuotas sin intereses; Tope de pago mensual: Gs. 500.000; Tope de compra mensual: Gs. 3.000.000; Tope de compra mensual: Gs. 500.000; Gs. 500.000; Gs. 3.000.000,No especificado,• Hasta el 31 de octubre del 2026,• 10% de reintegro directo en débito automático por la cuota social. Tope de pago mensual: Gs. 500.000 por cuenta de tarjeta. • 20% de reintegro directo en restaurante del Club. Tope de compra mensual: Gs. 3.000.000 por cuenta de tarjeta. • 20% de reintegro directo en los locales gastronómicos dentro del Club*. • 10% de reintegro directo en combustibles dentro del Club. Tope de compra mensual: Gs. 500.000 por cuenta de tarjeta. • 12 cuotas sin intereses para los pagos en caja dentro del Club. FAN FEST – CLUB NAUTICO SAN BERNARDINO,https://www.sudameris.com.py/beneficios/destacado/142/detalle,,
Gastronomía,Sudameris,CLUB SOCIAL ÁREA 1 (CDE),10%; 20%; hasta 12 cuotas sin intereses; Tope de compra mensual: Gs. 440.000; Tope de compra mensual: Gs. 50.000; Tope de compra mensual: Gs. 300.000; Gs. 440.000; Gs. 50.000; Gs. 300.000,Todos los días; todos los días,• Todos los días. • Hasta el 30 de junio de 2028.,"• 10% de reintegro en el extracto y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa, para pagos vía débito automático de las cuotas sociales del club. Tope de compra mensual: Gs. 440.000 por cuenta de tarjeta de crédito. • 20% de reintegro en el extracto todos los días en el gimnasio del Club. Aplica única y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa. Tope de compra mensual: Gs. 50.000 por cuenta de tarjeta de crédito. • 20% de reintegro en el extracto todos los días en la cantina y el restaurante del Club. Aplica única y exclusivamente a compras realizadas con Tarjetas de Crédito MasterCard y Visa. Tope de compra mensual: Gs. 300.000 por cuenta de tarjeta de crédito. • Pagos de cuotas atrasadas en hasta 12 cuotas sin intereses.",https://www.sudameris.com.py/beneficios/destacado/297/detalle,,
Gastronomía,Sudameris,CONCEPTS LA CUADRITA,20%; 25%; Hasta 10 cuotas sin intereses,Miércoles a viernes,• Miércoles a viernes. • Desde el 04 de marzo hasta el 09 de octubre 2026.,• 20% de reintegro directo en extracto pagando con tarjetas de crédito de Sudameris. • 25% de reintegro directo en extracto pagando con tarjetas de crédito MasterCard Black y Visa Infinite de Sudameris. • Hasta 10 cuotas sin intereses,https://www.sudameris.com.py/beneficios/destacado/443/detalle,,
Gastronomía,Sudameris,DE LA PEQUE,20% DE REINTEGRO,JUEVES A SÁBADO,Desde 2026-08-06 hasta 2026-09-26,"20% DE REINTEGRO.  1 GASTRONOMÍA VIGENCIA • Según aplicación de promoción (ver cuadro más abajo). BENEFICIO • Reintegro directo en el extracto para compras con tarjetas de crédito de Sudameris, según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por comercio, por cuenta de tarjeta de crédito, según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, exclusivamente en los comercios adheridos a la promo. • Promoción válida única y exclusivamente para compras realizadas vía POS Bancard (Red Infonet), vía e-commerce según disponibilidad del comercio, V-POS (Bancard), Pagos QR Crédito (vía Sudameris App). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, Bancard Check, de débito, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen de la promoción las compras realizadas en plataformas ajenas a cada marca (Monchis, Pedidos Ya, Pedile a Charly, Gu, entre otros) • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/uploads/public/6a7/376/af4/6a7376af4a2cc693462747.pdf,Tope de compra mensual: GS. 500.000,
Gastronomía,Sudameris,GROSSO,20% DE REINTEGRO,MARTES A JUEVES,Desde 2026-08-04 hasta 2026-10-01,"20% DE REINTEGRO.  1 GASTRONOMÍA VIGENCIA • Según aplicación de promoción (ver cuadro más abajo). BENEFICIO • Reintegro directo en el extracto para compras con tarjetas de crédito de Sudameris, según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por comercio, por cuenta de tarjeta de crédito, según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, exclusivamente en los comercios adheridos a la promo. • Promoción válida única y exclusivamente para compras realizadas vía POS Bancard (Red Infonet), vía e-commerce según disponibilidad del comercio, V-POS (Bancard), Pagos QR Crédito (vía Sudameris App). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, Bancard Check, de débito, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen de la promoción las compras realizadas en plataformas ajenas a cada marca (Monchis, Pedidos Ya, Pedile a Charly, Gu, entre otros) • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/uploads/public/6a7/376/af4/6a7376af4a2cc693462747.pdf,Tope de compra mensual: GS. 800.000,
